deg,Nan_last,Max_last,Nan_full,Max_full
171,0.0976772,0.390666,0.263572,0.482443
171.5,0.0945069,0.388433,0.258232,0.479381
172,0.0914387,0.385363,0.25329,0.475231
172.5,0.0876291,0.381506,0.245703,0.469535
173,0.085868,0.379754,0.242007,0.467204
173.5,0.0806177,0.374582,0.232667,0.458894
174,0.0798805,0.373803,0.228881,0.457581
174.5,0.0744968,0.368137,0.218686,0.447755
175,0.0731258,0.367064,0.214319,0.445271
175.5,0.0684828,0.361633,0.205034,0.436133
176,0.0668346,0.359036,0.19859,0.430861
176.5,0.063066,0.354951,0.190993,0.423462
177,0.0595499,0.350965,0.18275,0.414835
177.5,0.0575222,0.348265,0.176555,0.408956
178,0.0529866,0.342949,0.167215,0.397938
178.5,0.0519623,0.341026,0.162232,0.392584
179,0.0467134,0.334553,0.152535,0.379737
179.5,0.0461009,0.333269,0.148573,0.373688
180,0.041345,0.327076,0.139617,0.361966
180.5,0.0394225,0.324268,0.134513,0.354708
181,0.036096,0.319428,0.127498,0.345009
181.5,0.0333121,0.315375,0.121807,0.336683
182,0.0308777,0.311518,0.116438,0.330214
182.5,0.0273331,0.305724,0.109216,0.320391
183,0.0256781,0.303613,0.105772,0.316749
183.5,0.0218197,0.296714,0.0984599,0.30548
184,0.0207681,0.295119,0.0947983,0.302162
184.5,0.0162859,0.288135,0.0868495,0.291921
185,0.0154474,0.285312,0.0832042,0.287704
185.5,0.0118402,0.279683,0.076727,0.278655
186,0.00979519,0.275506,0.0722948,0.272249
186.5,0.00713374,0.271296,0.0667841,0.265563
187,0.00457344,0.265719,0.0614023,0.256019
187.5,0.00259976,0.262848,0.0574191,0.251492
188,-0.000242764,0.255899,0.0514732,0.241305
188.5,-0.000826875,0.25362,0.0487926,0.237357
189,-0.00471812,0.246703,0.0422897,0.227
189.5,-0.00538611,0.244155,0.0397848,0.222511
190,-0.00821198,0.237763,0.0342873,0.212907
190.5,-0.00955372,0.234562,0.0313026,0.20733
191,-0.0118747,0.229387,0.0268813,0.199583
191.5,-0.013623,0.224154,0.0228195,0.192094
192,-0.0145504,0.220829,0.0200648,0.186095
192.5,-0.0171597,0.214575,0.0159908,0.178119
193,-0.0173548,0.212137,0.014139,0.173542
193.5,-0.0199878,0.205454,0.00971588,0.165083
194,-0.0199568,0.203213,0.00859153,0.160455
194.5,-0.0223434,0.196776,0.00449625,0.152153
195,-0.0224211,0.193822,0.00319743,0.147876
195.5,-0.0240262,0.188577,0.000794079,0.140934
196,-0.0246333,0.184356,-0.00117572,0.135294
196.5,-0.0254729,0.180697,-0.00297031,0.130395
197,-0.0267104,0.175392,-0.00474183,0.123905
197.5,-0.0267475,0.172793,-0.00479923,0.120349
198,-0.0277262,0.166626,-0.00688699,0.113349
198.5,-0.0271239,0.164921,-0.0064449,0.111195
199,-0.029253,0.158339,-0.00919114,0.104348
199.5,-0.0277579,0.156315,-0.00804776,0.101858
200,-0.0288165,0.151113,-0.00962913,0.096456
200.5,-0.0283254,0.147964,-0.00924229,0.0937233
201,-0.0285985,0.143851,-0.00967738,0.0895788
201.5,-0.0286975,0.139275,-0.0102403,0.0849879
202,-0.0279003,0.137061,-0.00917804,0.0833212
202.5,-0.0282816,0.131339,-0.0100734,0.0787651
203,-0.0269067,0.13012,-0.00783553,0.0788855
203.5,-0.0278844,0.123876,-0.00910516,0.0733494
204,-0.0257479,0.123112,-0.00641416,0.0734872
204.5,-0.0257707,0.117458,-0.00722842,0.0687429
205,-0.0245448,0.115425,-0.00495831,0.0677877
205.5,-0.0243064,0.111593,-0.00463245,0.0660806
206,-0.02331,0.107967,-0.00346713,0.0638138
206.5,-0.0215445,0.105961,-0.00102579,0.0627522
207,-0.0212616,0.101028,-0.00105496,0.0598058
207.5,-0.018644,0.100507,0.00242577,0.0617271
208,-0.0187673,0.0947516,0.00217661,0.0575207
208.5,-0.015486,0.0946181,0.00636174,0.0592548
209,-0.0151866,0.0894924,0.00655859,0.0564591
209.5,-0.0128537,0.0888468,0.00989019,0.0580507
210,-0.0117101,0.0847441,0.0113736,0.0562054
210.5,-0.00975331,0.0826276,0.0137827,0.0558585
211,-0.0074837,0.0805934,0.0165928,0.0571994
211.5,-0.00566725,0.0772843,0.0179415,0.0551503
212,-0.00287183,0.0767385,0.0225244,0.0576769
212.5,-0.00228443,0.0723612,0.0233963,0.0554541
213,0.00179109,0.0728929,0.0280081,0.0589326
213.5,0.00260663,0.0683518,0.0289626,0.0567516
214,0.00644955,0.0685257,0.0335336,0.0593006
